id,name,kg,category,hops,cypher
PW01,Protein interactions (sample),PW,1_hop,1,"MATCH (p1:Protein)-[:INTERACTS_WITH]->(p2:Protein) RETURN p1.name, p2.name LIMIT 10"
PW02,Pathway proteins via PARTICIPATES_IN,PW,1_hop,1,"MATCH (prot:Protein)-[:PARTICIPATES_IN]->(p:Pathway) WHERE p.name = 'Signal Transduction' RETURN prot.name LIMIT 10"
PW03,Pathway by name,PW,point_lookup,0,"MATCH (p:Pathway) WHERE p.name CONTAINS 'Insulin' RETURN p.name"
PW04,Protein by name,PW,point_lookup,0,"MATCH (p:Protein) WHERE p.name = 'TP53' RETURN p.name"
PW05,Largest pathways by protein count,PW,aggregation,1,"MATCH (prot:Protein)-[:PARTICIPATES_IN]->(p:Pathway) RETURN p.name, count(prot) AS proteins ORDER BY proteins DESC LIMIT 10"
PW06,Most connected proteins (interaction hub),PW,aggregation,1,"MATCH (p1:Protein)-[:INTERACTS_WITH]->(p2:Protein) RETURN p1.name, count(p2) AS interactions ORDER BY interactions DESC LIMIT 10"
PW07,Protein -> Pathway -> Sibling proteins,PW,2_hop,2,"MATCH (p1:Protein)-[:INTERACTS_WITH]->(p2:Protein)-[:PARTICIPATES_IN]->(pw:Pathway) WHERE p1.name = 'TP53' RETURN pw.name, p2.name LIMIT 10"
PW08,GO term annotations for proteins,PW,1_hop,1,"MATCH (p:Protein)-[:ANNOTATED_WITH]->(go:GOTerm) RETURN p.name, go.name LIMIT 10"
PW09,Reactions catalyzed by a protein,PW,1_hop,1,"MATCH (p:Protein)-[:CATALYZES]->(r:Reaction) RETURN p.name, r.name LIMIT 10"
PW10,Protein complexes,PW,1_hop,1,"MATCH (p:Protein)-[:COMPONENT_OF]->(c:Complex) RETURN p.name, c.name LIMIT 10"
PW11,Pathway hierarchy (parent-child),PW,1_hop,1,"MATCH (child:Pathway)-[:CHILD_OF]->(parent:Pathway) RETURN child.name, parent.name LIMIT 10"
PW12,Regulation targets,PW,1_hop,1,"MATCH (a)-[:REGULATES]->(b) RETURN labels(a)[0] AS src_type, labels(b)[0] AS tgt_type LIMIT 10"
PW13,Shared pathways between interacting proteins,PW,2_hop,2,"MATCH (p1:Protein)-[:INTERACTS_WITH]->(p2:Protein) WHERE p1.name = 'TP53' WITH p2 LIMIT 1 MATCH (p2)-[:PARTICIPATES_IN]->(pw:Pathway) RETURN p2.name, pw.name LIMIT 10"
PW14,Proteins in immune system pathway,PW,1_hop,1,"MATCH (prot:Protein)-[:PARTICIPATES_IN]->(p:Pathway) WHERE p.name = 'Immune System' RETURN prot.name LIMIT 20"
PW15,Protein interaction network depth 2,PW,2_hop,2,"MATCH (p1:Protein)-[:INTERACTS_WITH]->(p2:Protein)-[:INTERACTS_WITH]->(p3:Protein) WHERE p1.name = 'EGFR' AND p1 <> p3 RETURN p2.name, p3.name LIMIT 10"
DI01,Drug side effects (sample),DI,1_hop,1,"MATCH (d:Drug)-[:HAS_SIDE_EFFECT]->(se:SideEffect) RETURN d.name, se.name LIMIT 10"
DI02,Drug-gene interactions (sample),DI,1_hop,1,"MATCH (d:Drug)-[:INTERACTS_WITH_GENE]->(g:Gene) RETURN d.name, g.name LIMIT 10"
DI03,Drug indications (sample),DI,1_hop,1,"MATCH (d:Drug)-[:HAS_INDICATION]->(ind:Indication) RETURN d.name, ind.name LIMIT 10"
DI04,Drug adverse events (sample),DI,1_hop,1,"MATCH (d:Drug)-[:HAS_ADVERSE_EVENT]->(ae:AdverseEvent) RETURN d.name, ae.name LIMIT 10"
DI05,Drug adverse events with gene targets,DI,2_hop,2,"MATCH (d:Drug)-[:INTERACTS_WITH_GENE]->(g:Gene) WITH d LIMIT 5 MATCH (d)-[:HAS_SIDE_EFFECT]->(se:SideEffect) RETURN d.name, se.name LIMIT 10"
DI06,Drugs with most side effects,DI,aggregation,1,"MATCH (d:Drug)-[:HAS_SIDE_EFFECT]->(se:SideEffect) RETURN d.name, count(se) AS side_effects ORDER BY side_effects DESC LIMIT 10"
DI07,Most common side effects,DI,aggregation,1,"MATCH (d:Drug)-[:HAS_SIDE_EFFECT]->(se:SideEffect) RETURN se.name, count(d) AS drugs ORDER BY drugs DESC LIMIT 10"
DI08,Drugs sharing a gene target,DI,2_hop,2,"MATCH (d1:Drug)-[:INTERACTS_WITH_GENE]->(g:Gene)<-[:INTERACTS_WITH_GENE]-(d2:Drug) WHERE d1.name < d2.name RETURN d1.name, d2.name, g.name LIMIT 10"
DI09,Drugs for a specific indication,DI,1_hop,1,"MATCH (d:Drug)-[:HAS_INDICATION]->(ind:Indication) WHERE ind.name CONTAINS 'Diabetes' RETURN d.name, ind.name LIMIT 10"
DI10,Side effects shared between two drugs,DI,2_hop,2,"MATCH (d1:Drug)-[:HAS_SIDE_EFFECT]->(se:SideEffect)<-[:HAS_SIDE_EFFECT]-(d2:Drug) WHERE d1.name = 'Pregabalin' AND d1 <> d2 RETURN d2.name, se.name LIMIT 10"
DI11,Genes targeted by most drugs,DI,aggregation,1,"MATCH (d:Drug)-[:INTERACTS_WITH_GENE]->(g:Gene) RETURN g.name, count(d) AS drugs ORDER BY drugs DESC LIMIT 10"
DI12,Most common adverse events,DI,aggregation,1,"MATCH (d:Drug)-[:HAS_ADVERSE_EVENT]->(ae:AdverseEvent) RETURN ae.name, count(d) AS drugs ORDER BY drugs DESC LIMIT 10"
DI13,Drug with indications and side effects,DI,pattern,1,"MATCH (d:Drug {name: 'Bivalirudin'})-[:HAS_INDICATION]->(ind:Indication) WITH d, ind MATCH (d)-[:HAS_SIDE_EFFECT]->(se:SideEffect) RETURN ind.name, se.name LIMIT 10"
DI14,Drugs with both gene targets and adverse events,DI,pattern,1,"MATCH (d:Drug)-[:INTERACTS_WITH_GENE]->(g:Gene) WITH d, g LIMIT 50 MATCH (d)-[:HAS_ADVERSE_EVENT]->(ae:AdverseEvent) RETURN d.name, g.name, ae.name LIMIT 10"
DI15,Cancer drug side effects,DI,2_hop,2,"MATCH (d:Drug)-[:HAS_INDICATION]->(ind:Indication) WHERE ind.name CONTAINS 'Cancer' WITH d LIMIT 50 MATCH (d)-[:HAS_SIDE_EFFECT]->(se:SideEffect) RETURN d.name, se.name LIMIT 10"
CT01,Trial interventions (sample),CT,1_hop,1,"MATCH (t:ClinicalTrial)-[:TESTS]->(i:Intervention) RETURN t.nct_id, i.name LIMIT 10"
CT02,Trial adverse events (sample),CT,1_hop,1,"MATCH (t:ClinicalTrial)-[:REPORTED]->(ae:AdverseEvent) RETURN t.nct_id, ae.term LIMIT 10"
