id,kg,system,latency_ms,row_count,status
PW01,PW,neo4j,1.662,10,pass
PW02,PW,neo4j,1.676,10,pass
PW03,PW,neo4j,2.092,9,pass
PW04,PW,neo4j,1.474,1,pass
PW05,PW,neo4j,25.357,10,pass
PW06,PW,neo4j,66.371,10,pass
PW07,PW,neo4j,2.558,10,pass
PW08,PW,neo4j,1.870,10,pass
PW09,PW,neo4j,1.743,10,pass
PW10,PW,neo4j,1.883,10,pass
PW11,PW,neo4j,1.844,10,pass
PW12,PW,neo4j,2.404,10,pass
PW13,PW,neo4j,2.025,0,empty
PW14,PW,neo4j,2.640,20,pass
PW15,PW,neo4j,2.170,10,pass
DI01,DI,neo4j,1.914,10,pass
DI02,DI,neo4j,2.117,10,pass
DI03,DI,neo4j,2.079,10,pass
DI04,DI,neo4j,3.168,10,pass
DI05,DI,neo4j,1.803,0,empty
DI06,DI,neo4j,49.380,10,pass
DI07,DI,neo4j,24.350,10,pass
DI08,DI,neo4j,2.318,10,pass
DI09,DI,neo4j,2.421,10,pass
DI10,DI,neo4j,2.355,10,pass
DI11,DI,neo4j,11.006,1,pass
DI12,DI,neo4j,9.868,1,pass
DI13,DI,neo4j,2.192,10,pass
DI14,DI,neo4j,2.403,10,pass
DI15,DI,neo4j,2.693,10,pass
CT01,CT,neo4j,2.330,10,pass
CT02,CT,neo4j,2.168,10,pass
CT03,CT,neo4j,2.215,10,pass
CT04,CT,neo4j,2.244,10,pass
CT05,CT,neo4j,2.264,10,pass
CT06,CT,neo4j,2.311,10,pass
CT07,CT,neo4j,2.269,10,pass
CT08,CT,neo4j,1883.694,15,pass
CT09,CT,neo4j,964.602,15,pass
CT10,CT,neo4j,2647.066,15,pass
CT11,CT,neo4j,455.520,15,pass
CT12,CT,neo4j,190.905,10,pass
CT13,CT,neo4j,20.376,10,pass
CT14,CT,neo4j,42.642,10,pass
CT15,CT,neo4j,655.238,1,pass
CT16,CT,neo4j,48.903,10,pass
CT17,CT,neo4j,20.081,10,pass
CT19,CT,neo4j,2.001,10,pass
CT20,CT,neo4j,520.861,10,pass
CT21,CT,neo4j,200.383,10,pass
HERO,XK,neo4j,9.972,0,empty
XK01,XK,neo4j,2.154,0,empty
XK02,XK,neo4j,42.300,0,empty
XK03,XK,neo4j,39.914,0,empty
XK04,XK,neo4j,110.352,10,pass
