id,kg,system,latency_ms,row_count,status
PW01,PW,neo4j,1.663,10,pass
PW02,PW,neo4j,1.774,10,pass
PW03,PW,neo4j,2.144,9,pass
PW04,PW,neo4j,1.903,1,pass
PW05,PW,neo4j,24.763,10,pass
PW06,PW,neo4j,62.125,10,pass
PW07,PW,neo4j,2.304,10,pass
PW08,PW,neo4j,1.587,10,pass
PW09,PW,neo4j,1.706,10,pass
PW10,PW,neo4j,1.860,10,pass
PW11,PW,neo4j,2.257,10,pass
PW12,PW,neo4j,2.432,10,pass
PW13,PW,neo4j,1.885,0,empty
PW14,PW,neo4j,2.290,20,pass
PW15,PW,neo4j,2.177,10,pass
DI01,DI,neo4j,1.967,10,pass
DI02,DI,neo4j,2.268,10,pass
DI03,DI,neo4j,2.523,10,pass
DI04,DI,neo4j,3.074,10,pass
DI05,DI,neo4j,1.930,0,empty
DI06,DI,neo4j,49.159,10,pass
DI07,DI,neo4j,24.739,10,pass
DI08,DI,neo4j,2.224,10,pass
DI09,DI,neo4j,2.433,10,pass
DI10,DI,neo4j,2.260,10,pass
DI11,DI,neo4j,10.840,1,pass
DI12,DI,neo4j,9.849,1,pass
DI13,DI,neo4j,2.455,10,pass
DI14,DI,neo4j,2.306,10,pass
DI15,DI,neo4j,2.628,10,pass
CT01,CT,neo4j,2.307,10,pass
CT02,CT,neo4j,2.466,10,pass
CT03,CT,neo4j,2.332,10,pass
CT04,CT,neo4j,2.226,10,pass
CT05,CT,neo4j,2.380,10,pass
CT06,CT,neo4j,1.972,10,pass
CT07,CT,neo4j,2.144,10,pass
CT08,CT,neo4j,1724.053,15,pass
CT09,CT,neo4j,861.070,15,pass
CT10,CT,neo4j,2578.167,15,pass
CT11,CT,neo4j,455.909,15,pass
CT12,CT,neo4j,189.072,10,pass
CT13,CT,neo4j,19.308,10,pass
CT14,CT,neo4j,43.423,10,pass
CT15,CT,neo4j,645.362,1,pass
CT16,CT,neo4j,43.414,10,pass
CT17,CT,neo4j,14.007,10,pass
CT19,CT,neo4j,1.762,10,pass
CT20,CT,neo4j,559.675,10,pass
CT21,CT,neo4j,190.005,10,pass
HERO,XK,neo4j,7.453,0,empty
XK01,XK,neo4j,2.069,0,empty
XK02,XK,neo4j,41.404,0,empty
XK03,XK,neo4j,37.596,0,empty
XK04,XK,neo4j,108.254,10,pass
