id,kg,system,latency_ms,row_count,status
PW01,PW,neo4j,1.747,10,pass
PW02,PW,neo4j,2.044,10,pass
PW03,PW,neo4j,2.593,9,pass
PW04,PW,neo4j,2.335,1,pass
PW05,PW,neo4j,27.924,10,pass
PW06,PW,neo4j,70.077,10,pass
PW07,PW,neo4j,3.007,10,pass
PW08,PW,neo4j,2.315,10,pass
PW09,PW,neo4j,2.346,10,pass
PW10,PW,neo4j,2.152,10,pass
PW11,PW,neo4j,2.068,10,pass
PW12,PW,neo4j,2.381,10,pass
PW13,PW,neo4j,2.068,0,empty
PW14,PW,neo4j,2.130,20,pass
PW15,PW,neo4j,1.699,10,pass
DI01,DI,neo4j,1.941,10,pass
DI02,DI,neo4j,1.996,10,pass
DI03,DI,neo4j,1.487,10,pass
DI04,DI,neo4j,2.723,10,pass
DI05,DI,neo4j,1.573,0,empty
DI06,DI,neo4j,53.861,10,pass
DI07,DI,neo4j,26.003,10,pass
DI08,DI,neo4j,2.341,10,pass
DI09,DI,neo4j,1.819,10,pass
DI10,DI,neo4j,2.110,10,pass
DI11,DI,neo4j,11.744,1,pass
DI12,DI,neo4j,10.035,1,pass
DI13,DI,neo4j,2.335,10,pass
DI14,DI,neo4j,2.230,10,pass
DI15,DI,neo4j,2.681,10,pass
CT01,CT,neo4j,1.661,10,pass
CT02,CT,neo4j,2.150,10,pass
CT03,CT,neo4j,2.204,10,pass
CT04,CT,neo4j,2.124,10,pass
CT05,CT,neo4j,2.287,10,pass
CT06,CT,neo4j,2.026,10,pass
CT07,CT,neo4j,2.165,10,pass
CT08,CT,neo4j,1919.677,15,pass
CT09,CT,neo4j,869.121,15,pass
CT10,CT,neo4j,2869.848,15,pass
CT11,CT,neo4j,462.885,15,pass
CT12,CT,neo4j,193.641,10,pass
CT13,CT,neo4j,20.869,10,pass
CT14,CT,neo4j,44.568,10,pass
CT15,CT,neo4j,678.809,1,pass
CT16,CT,neo4j,46.159,10,pass
CT17,CT,neo4j,16.321,10,pass
CT19,CT,neo4j,1.923,10,pass
CT20,CT,neo4j,557.429,10,pass
CT21,CT,neo4j,207.006,10,pass
HERO,XK,neo4j,6.785,0,empty
XK01,XK,neo4j,1.598,0,empty
XK02,XK,neo4j,41.925,0,empty
XK03,XK,neo4j,36.940,0,empty
XK04,XK,neo4j,112.165,10,pass
