id,kg,system,latency_ms,row_count,status
PW01,PW,samyama,66.363,10,pass
PW02,PW,samyama,63.740,10,pass
PW03,PW,samyama,58.402,9,pass
PW04,PW,samyama,67.334,1,pass
PW05,PW,samyama,9.541,10,pass
PW06,PW,samyama,79.631,10,pass
PW07,PW,samyama,72.326,10,pass
PW08,PW,samyama,62.959,10,pass
PW09,PW,samyama,83.823,10,pass
PW10,PW,samyama,80.166,10,pass
PW11,PW,samyama,57.561,10,pass
PW12,PW,samyama,215.616,10,pass
PW13,PW,samyama,75.074,10,pass
PW14,PW,samyama,60.397,20,pass
PW15,PW,samyama,68.976,10,pass
DI01,DI,samyama,58.075,10,pass
DI02,DI,samyama,57.463,10,pass
DI03,DI,samyama,56.065,10,pass
DI04,DI,samyama,55.207,10,pass
DI05,DI,samyama,83.607,0,empty
DI06,DI,samyama,43.984,10,pass
DI07,DI,samyama,12.978,10,pass
DI08,DI,samyama,60.224,10,pass
DI09,DI,samyama,60.053,10,pass
DI10,DI,samyama,58.071,10,pass
DI11,DI,samyama,15.555,10,pass
DI12,DI,samyama,711.210,10,pass
DI13,DI,samyama,76.767,10,pass
DI14,DI,samyama,84.624,10,pass
DI15,DI,samyama,83.799,10,pass
CT01,CT,samyama,137.503,10,pass
CT02,CT,samyama,136.968,10,pass
CT03,CT,samyama,142.620,10,pass
CT04,CT,samyama,148.130,10,pass
CT05,CT,samyama,139.036,10,pass
CT06,CT,samyama,138.095,10,pass
CT07,CT,samyama,136.144,10,pass
CT08,CT,samyama,6479.167,15,pass
CT09,CT,samyama,1092.988,15,pass
CT10,CT,samyama,14464.482,15,pass
CT11,CT,samyama,366.896,15,pass
CT12,CT,samyama,130.540,10,pass
CT13,CT,samyama,174.237,10,pass
CT14,CT,samyama,277.877,10,pass
CT15,CT,samyama,5031.277,1,pass
CT16,CT,samyama,235.098,10,pass
CT17,CT,samyama,166.275,10,pass
CT19,CT,samyama,169.588,10,pass
CT20,CT,samyama,4787.794,10,pass
CT21,CT,samyama,825.234,10,pass
HERO,XK,samyama,1461.746,0,empty
XK01,XK,samyama,488.165,0,empty
XK02,XK,samyama,2510.894,0,empty
XK03,XK,samyama,195.452,0,empty
XK04,XK,samyama,1151.978,10,pass
PW01,PW,neo4j,1007.882,10,pass
PW02,PW,neo4j,1018.858,10,pass
PW03,PW,neo4j,1033.609,9,pass
PW04,PW,neo4j,1004.565,1,pass
PW05,PW,neo4j,1033.730,10,pass
PW06,PW,neo4j,1040.924,10,pass
PW07,PW,neo4j,1023.676,10,pass
PW08,PW,neo4j,1028.021,10,pass
PW09,PW,neo4j,1009.542,10,pass
PW10,PW,neo4j,1024.098,10,pass
PW11,PW,neo4j,1031.249,10,pass
PW12,PW,neo4j,1006.164,10,pass
PW13,PW,neo4j,1010.587,0,empty
PW14,PW,neo4j,1010.710,20,pass
PW15,PW,neo4j,1018.619,10,pass
DI01,DI,neo4j,983.291,10,pass
DI02,DI,neo4j,996.657,10,pass
DI03,DI,neo4j,991.458,10,pass
DI04,DI,neo4j,1012.930,10,pass
DI05,DI,neo4j,1013.581,0,empty
DI06,DI,neo4j,1082.190,10,pass
DI07,DI,neo4j,1006.716,10,pass
DI08,DI,neo4j,1022.183,10,pass
DI09,DI,neo4j,977.853,10,pass
DI10,DI,neo4j,985.592,10,pass
DI11,DI,neo4j,1014.397,1,pass
DI12,DI,neo4j,1001.161,1,pass
DI13,DI,neo4j,996.977,10,pass
DI14,DI,neo4j,981.651,10,pass
DI15,DI,neo4j,985.778,10,pass
CT01,CT,neo4j,980.063,10,pass
CT02,CT,neo4j,1017.842,10,pass
CT03,CT,neo4j,999.531,10,pass
CT04,CT,neo4j,1016.777,10,pass
CT05,CT,neo4j,966.782,10,pass
CT06,CT,neo4j,1011.476,10,pass
CT07,CT,neo4j,1011.636,10,pass
CT08,CT,neo4j,2874.924,15,pass
CT09,CT,neo4j,1992.856,15,pass
CT10,CT,neo4j,3932.711,15,pass
CT11,CT,neo4j,1494.885,15,pass
CT12,CT,neo4j,1244.829,10,pass
CT13,CT,neo4j,1029.119,10,pass
CT14,CT,neo4j,1078.736,10,pass
CT15,CT,neo4j,1720.427,1,pass
CT16,CT,neo4j,1042.036,10,pass
CT17,CT,neo4j,993.268,10,pass
CT19,CT,neo4j,992.879,10,pass
CT20,CT,neo4j,1511.523,10,pass
CT21,CT,neo4j,1175.904,10,pass
HERO,XK,neo4j,990.561,0,empty
XK01,XK,neo4j,987.388,0,empty
XK02,XK,neo4j,1029.477,0,empty
XK03,XK,neo4j,1008.833,0,empty
XK04,XK,neo4j,1114.349,10,pass
