id,kg,system,latency_ms,row_count,status
PW01,PW,samyama,64.918,10,pass
PW02,PW,samyama,65.405,10,pass
PW03,PW,samyama,65.973,9,pass
PW04,PW,samyama,64.639,1,pass
PW05,PW,samyama,10.355,10,pass
PW06,PW,samyama,102.203,10,pass
PW07,PW,samyama,64.609,10,pass
PW08,PW,samyama,65.585,10,pass
PW09,PW,samyama,84.837,10,pass
PW10,PW,samyama,84.713,10,pass
PW11,PW,samyama,64.861,10,pass
PW12,PW,samyama,233.931,10,pass
PW13,PW,samyama,64.740,10,pass
PW14,PW,samyama,65.561,20,pass
PW15,PW,samyama,64.699,10,pass
DI01,DI,samyama,64.804,10,pass
DI02,DI,samyama,64.592,10,pass
DI03,DI,samyama,64.962,10,pass
DI04,DI,samyama,64.577,10,pass
DI05,DI,samyama,94.834,0,empty
DI06,DI,samyama,55.997,10,pass
DI07,DI,samyama,14.699,10,pass
DI08,DI,samyama,64.748,10,pass
DI09,DI,samyama,66.458,10,pass
DI10,DI,samyama,64.782,10,pass
DI11,DI,samyama,17.864,10,pass
DI12,DI,samyama,853.144,10,pass
DI13,DI,samyama,64.563,10,pass
DI14,DI,samyama,94.235,10,pass
DI15,DI,samyama,91.920,10,pass
CT01,CT,samyama,74.522,10,pass
CT02,CT,samyama,74.374,10,pass
CT03,CT,samyama,74.322,10,pass
CT04,CT,samyama,74.509,10,pass
CT05,CT,samyama,74.310,10,pass
CT06,CT,samyama,74.382,10,pass
CT07,CT,samyama,74.173,10,pass
CT08,CT,samyama,6050.607,15,pass
CT09,CT,samyama,1031.312,15,pass
CT10,CT,samyama,11576.446,15,pass
CT11,CT,samyama,283.069,15,pass
CT12,CT,samyama,103.185,10,pass
CT13,CT,samyama,144.598,10,pass
CT14,CT,samyama,239.719,10,pass
CT15,CT,samyama,4825.119,1,pass
CT16,CT,samyama,222.423,10,pass
CT17,CT,samyama,149.908,10,pass
CT19,CT,samyama,73.981,10,pass
CT20,CT,samyama,5369.862,10,pass
CT21,CT,samyama,851.648,10,pass
HERO,XK,samyama,1548.367,0,empty
XK01,XK,samyama,488.790,0,empty
XK02,XK,samyama,2635.931,0,empty
XK03,XK,samyama,188.586,0,empty
XK04,XK,samyama,1230.506,10,pass
